release_year,metascore,price_usd,hours_gameplay,marketing_score,social_hype,discount_pct,bugs_reported,rating_count,rating
2021,57.66,45.8,20.71,25.16,16.06,59.39,10,2921,50.0
2018,66.93,51.19,50.6,12.59,21.77,24.41,6,1667,51.68
2025,59.16,26.25,37.4,9.18,14.66,0.66,6,1090,50.0
2022,72.84,38.65,15.34,9.54,9.44,10.19,3,1079,53.04
2019,76.17,54.53,113.23,14.37,63.59,39.15,9,2816,64.44
2021,91.09,29.95,19.23,5.79,21.82,36.72,6,928,68.23
2024,78.94,48.52,42.31,5.1,31.55,47.27,5,983,57.77
2017,74.03,28.72,81.7,10.44,26.07,15.23,5,1656,59.02
2021,83.46,50.6,35.66,6.76,42.24,45.82,6,1595,62.01
2025,56.1,44.57,65.44,14.49,17.08,41.28,5,1977,50.0
2025,78.12,25.62,16.76,9.22,25.66,19.37,6,1257,58.26
2022,82.94,58.98,32.92,5.08,26.52,32.73,6,1048,61.44
2019,62.69,36.18,23.38,9.05,6.07,8.84,5,1338,50.0
2018,86.29,35.28,35.46,4.3,3.98,27.15,4,339,60.18
2022,79.05,47.41,35.85,13.04,33.54,52.87,4,2035,61.68
2022,72.26,58.78,37.79,3.2,4.61,25.27,5,200,50.0
2017,81.7,32.81,55.43,15.38,22.88,50.37,7,1791,65.98
2020,96.44,45.74,8.28,8.96,12.77,35.42,9,1449,66.44
2019,77.64,50.15,26.23,6.69,28.8,11.51,7,1387,55.89
2016,78.23,53.32,40.86,11.68,41.48,34.87,4,2171,65.83
2022,71.87,47.12,11.19,10.04,41.25,30.36,1,1680,57.57
2020,68.35,40.6,49.86,16.42,32.38,23.92,4,2434,57.75
2016,83.47,35.07,25.96,16.32,31.35,7.18,6,2543,68.31
2019,68.3,46.03,33.25,9.13,44.0,25.0,4,2174,56.14
2015,76.64,32.13,56.67,4.38,32.13,4.37,6,1340,55.27
2024,71.7,10.0,66.9,5.34,18.06,5.93,10,756,50.0
2020,80.31,50.24,50.61,7.08,4.57,24.95,6,843,55.3
2023,79.0,55.85,18.91,14.14,48.57,18.32,5,2678,63.23
2015,85.34,16.64,49.37,5.62,65.18,55.53,3,1840,71.29
2025,71.41,32.88,51.01,5.91,19.31,22.54,11,842,50.0
2025,73.57,52.43,46.14,22.4,20.61,45.47,3,2803,61.88
2024,67.19,69.69,72.21,6.94,4.12,31.81,7,920,50.0
2017,72.0,45.25,38.3,5.05,20.57,42.25,7,715,52.66
2021,79.4,36.26,70.85,11.78,25.11,15.61,5,1889,63.69
2018,82.81,42.81,70.64,7.14,13.71,56.51,7,1039,63.62
2023,67.7,61.5,51.72,3.21,13.03,31.81,5,771,50.0
2017,83.83,37.25,42.64,13.8,27.23,49.88,6,1877,64.18
